NumRegions = 25
-19.570711, -19.570711	-32.429289, -19.570711	-32.429289, -32.429289	-19.570711, -32.429289	
-6.570711, -19.570711	-19.429289, -19.570711	-19.429289, -32.429289	-6.570711, -32.429289	
-19.570711, -19.429289	-32.429289, -19.429289	-32.429289, -6.570711	-19.570711, -6.570711	
-19.429289, -19.429289	-19.429289, -6.570711	-6.570711, -6.570711	-6.570711, -19.429289	
-6.429289, -19.570711	6.429289, -19.570711	6.429289, -32.429289	-6.429289, -32.429289	
-19.570711, -6.429289	-19.570711, 6.429289	-32.429289, 6.429289	-32.429289, -6.429289	
-6.429289, -19.429289	6.429289, -19.429289	6.429289, -6.570711	-6.429289, -6.570711	
-19.429289, -6.429289	-6.570711, -6.429289	-6.570711, 6.429289	-19.429289, 6.429289	
19.429289, -32.429289	6.570711, -32.429289	6.570711, -19.570711	19.429289, -19.570711	
-19.570711, 19.429289	-32.429289, 19.429289	-32.429289, 6.570711	-19.570711, 6.570711	
-6.429289, 6.429289	-6.429289, -6.429289	6.429289, -6.429289	6.429289, 6.429289	
19.429289, -19.429289	6.570711, -19.429289	6.570711, -6.570711	19.429289, -6.570711	
-6.570711, 19.429289	-19.429289, 19.429289	-19.429289, 6.570711	-6.570711, 6.570711	
19.429289, 6.429289	19.429289, -6.429289	6.570711, -6.429289	6.570711, 6.429289	
6.429289, 19.429289	6.429289, 6.570711	-6.429289, 6.570711	-6.429289, 19.429289	
32.429289, -19.570711	19.570711, -19.570711	19.570711, -32.429289	32.429289, -32.429289	
-19.570711, 19.570711	-32.429289, 19.570711	-32.429289, 32.429289	-19.570711, 32.429289	
32.429289, -19.429289	19.570711, -19.429289	19.570711, -6.570711	32.429289, -6.570711	
-6.570711, 32.429289	-19.429289, 32.429289	-19.429289, 19.570711	-6.570711, 19.570711	
19.429289, 19.429289	19.429289, 6.570711	6.570711, 6.570711	6.570711, 19.429289	
19.570711, 6.429289	32.429289, 6.429289	32.429289, -6.429289	19.570711, -6.429289	
6.429289, 19.570711	-6.429289, 19.570711	-6.429289, 32.429289	6.429289, 32.429289	
19.570711, 19.429289	32.429289, 19.429289	32.429289, 6.570711	19.570711, 6.570711	
19.429289, 19.570711	19.429289, 32.429289	6.570711, 32.429289	6.570711, 19.570711	
19.570711, 19.570711	32.429289, 19.570711	32.429289, 32.429289	19.570711, 32.429289	
