NumRegions = 25
-16.510051, -16.510051	-11.489949, -16.510051	-11.489949, -11.489949	-16.510051, -11.489949	
-9.510051, -16.510051	-4.489949, -16.510051	-4.489949, -11.489949	-9.510051, -11.489949	
-16.510051, -4.489949	-11.489949, -4.489949	-11.489949, -9.510051	-16.510051, -9.510051	
-9.510051, -4.489949	-9.510051, -9.510051	-4.489949, -9.510051	-4.489949, -4.489949	
2.510051, -11.489949	2.510051, -16.510051	-2.510051, -16.510051	-2.510051, -11.489949	
-11.489949, 2.510051	-16.510051, 2.510051	-16.510051, -2.510051	-11.489949, -2.510051	
-2.510051, -9.510051	2.510051, -9.510051	2.510051, -4.489949	-2.510051, -4.489949	
-4.489949, 2.510051	-9.510051, 2.510051	-9.510051, -2.510051	-4.489949, -2.510051	
4.489949, -11.489949	9.510051, -11.489949	9.510051, -16.510051	4.489949, -16.510051	
-11.489949, 4.489949	-11.489949, 9.510051	-16.510051, 9.510051	-16.510051, 4.489949	
-2.510051, 2.510051	2.510051, 2.510051	2.510051, -2.510051	-2.510051, -2.510051	
4.489949, -4.489949	9.510051, -4.489949	9.510051, -9.510051	4.489949, -9.510051	
-9.510051, 4.489949	-9.510051, 9.510051	-4.489949, 9.510051	-4.489949, 4.489949	
9.510051, 2.510051	4.489949, 2.510051	4.489949, -2.510051	9.510051, -2.510051	
2.510051, 9.510051	-2.510051, 9.510051	-2.510051, 4.489949	2.510051, 4.489949	
16.510051, -16.510051	11.489949, -16.510051	11.489949, -11.489949	16.510051, -11.489949	
-11.489949, 11.489949	-11.489949, 16.510051	-16.510051, 16.510051	-16.510051, 11.489949	
11.489949, -4.489949	11.489949, -9.510051	16.510051, -9.510051	16.510051, -4.489949	
-9.510051, 11.489949	-9.510051, 16.510051	-4.489949, 16.510051	-4.489949, 11.489949	
9.510051, 9.510051	9.510051, 4.489949	4.489949, 4.489949	4.489949, 9.510051	
11.489949, 2.510051	16.510051, 2.510051	16.510051, -2.510051	11.489949, -2.510051	
2.510051, 11.489949	-2.510051, 11.489949	-2.510051, 16.510051	2.510051, 16.510051	
11.489949, 9.510051	16.510051, 9.510051	16.510051, 4.489949	11.489949, 4.489949	
9.510051, 11.489949	4.489949, 11.489949	4.489949, 16.510051	9.510051, 16.510051	
11.489949, 16.510051	16.510051, 16.510051	16.510051, 11.489949	11.489949, 11.489949	
